no,question,options,answer
1,パスワード等の登録情報を厳重に管理し、むやみに他人に教えないように心がける,〇 ✕,〇
2,保護者として、課金状況を自分の目で定期的に確認,〇 ✕,〇
3,少しでも不審なことがあれば、遠慮せずに各地の消費生活センターに相談する,〇 ✕,〇
4,小学生の子どもが、高額課金していた。この時の子供の認識として正しいのは,Aわかっているけどやめられない B友達に「スマホのキャリア決済を使うとお金がかからない」と教えられ高額課金を行っていた,B友達に「スマホのキャリア決済を使うとお金がかからない」と教えられ高額課金を行っていた
5,小学生の子どもが課金していたが、気がつかなかった理由は?,A決済完了メールを削除していたため B子供が報告しなかったから,A決済完了メールを削除していたため
6,子供が課金したことを証明する事は難しい,〇 ✕,〇
7,未成年者が親の同意を得ずに契約した場合は、民法で定められた未成年者取消権によって契約を取り消すことができる。しかし、オンラインゲームの場合、「子どもが課金した」と証明することが非常に難しいため、取り消しが認められず返金されないケースが多い。,〇 ✕,〇
8,子供が課金の際に必要なパスワードを入手する術は,A親の動作から覚える B適当に打ち込んで当てる,A親の動作から覚える
9,高額課金を防ぐための対処法として正しいのは,Aスマホを与えない Bクレジットカードを安易に登録しない,Bクレジットカードを安易に登録しない
10,どうしても課金をする際にはギフトカードの利用するなどの方法を取る,〇 ✕,〇
