no,question,options,answer
1,パソコンやスマホが「ウイルス」に感染すると、パソコンが壊れるだけでなく、その中にある大切な個人情報などが盗まれてしまう。,〇 ✕,〇,
2,ウイルス対策ソフトは、ある程度古いものでも十分にウイルスに対抗できる。,〇 ✕,✕,
3,ホームページを見ただけでウイルスに感染することはない。,〇 ✕,✕,
4,迷惑メールを送られないようにするために、ホームページのアンケートや電子掲示板などにはむやみにメールアドレスを書き込まない方がいい。,〇 ✕,〇,
5,「あなたにだけ特別なお知らせが！詳しくはこちらをクリック！」という内容のURLはクリックして内容を確認しても良い。,〇 ✕,✕,
6,ネット上にあるアプリは全て安全なものとは限らない。,〇 ✕,〇,
7,通信量の節約をしたいので、パスワードのかかっていないフリーWi-Fiは使っても良い。,〇 ✕,✕,
8,電子掲示板で多くの人と繋がりたいので、本名やメールアドレスを書き込んでも良い。,〇 ✕,✕,
9,パスワードは、覚えやすいように自分の名前や誕生日を入れると良い。,〇 ✕,✕,
10,迷惑メールやメッセージが送られてきたら、自分だけでどうにかしようとせず、親など家族に相談した方が良い。,〇 ✕,〇,
11,フィルタリングは子供が自分で見ていいホームページと見てはいけないホームページを設定するものである。,〇 ✕,✕,
